t_sim,q1,q2,q3,q4,q5,q6,q1_ref,q2_ref,q3_ref,q4_ref,q5_ref,q6_ref,tau1,tau2,tau3,tau4,tau5,tau6,tracking_error
1.3200,0.193036,-0.000268,0.479734,0.999980,0.003339,-0.000516,0.000000,-0.426000,0.792000,-0.432000,0.000000,0.000000,-0.013606,-0.030007,0.022008,-9.999874,-1.859551,0.677242,1.538375
1.3400,0.193050,-0.000177,0.479812,0.999984,0.001747,-0.000205,0.000000,-0.437000,0.804000,-0.434000,0.000000,0.000000,-0.013636,-0.030856,0.022899,-9.999874,-0.632083,0.074028,1.545799
1.3600,0.193057,-0.000123,0.479853,0.999985,0.000864,-0.000088,0.000000,-0.448000,0.816000,-0.436000,0.000000,0.000000,-0.013574,-0.031490,0.023634,-9.999872,-0.234575,0.010597,1.553355
1.3800,0.193060,-0.000096,0.479873,0.999985,0.000422,-0.000040,0.000000,-0.459000,0.828000,-0.438000,0.000000,0.000000,-0.013529,-0.032157,0.024394,-9.999871,-0.096048,0.002564,1.561044
1.4000,0.193062,-0.000083,0.479883,0.999985,0.000205,-0.000019,0.000000,-0.470000,0.840000,-0.440000,0.000000,0.000000,-0.013502,-0.032865,0.025186,-9.999870,-0.042418,0.000975,1.568865
1.4200,0.192510,-0.000209,0.479646,0.999966,0.004087,-0.001195,0.000000,-0.481000,0.852000,-0.442000,0.000000,0.000000,-0.012826,-0.032049,0.024825,-9.999850,7.145585,3.477614,1.576753
1.4400,0.191291,-0.000852,0.479627,0.999837,0.014870,-0.003080,0.000000,-0.492000,0.864000,-0.444000,0.000000,0.000000,-0.008000,-0.020549,0.016084,-9.999648,8.001142,6.000253,1.584442
1.4600,0.190652,-0.002021,0.480693,0.999398,0.032773,-0.003498,0.000000,-0.503000,0.876000,-0.446000,0.000000,0.000000,-0.009328,-0.024509,0.019338,-9.999718,4.224754,5.702902,1.591809
1.4800,0.190609,-0.002174,0.481240,0.999342,0.034490,-0.002406,0.000000,-0.514000,0.888000,-0.448000,0.000000,0.000000,-0.009775,-0.026248,0.020858,-9.999739,-2.200714,-0.002777,1.599921
1.5000,0.190692,-0.000932,0.480398,0.999843,0.013858,-0.001166,0.000000,-0.525000,0.900000,-0.450000,0.000000,0.000000,-0.009656,-0.026544,0.021253,-9.999733,-2.138342,0.131545,1.609134
1.5200,0.190836,0.000493,0.479295,0.999894,-0.009469,0.000948,0.000000,-0.536000,0.912000,-0.452000,0.000000,0.000000,-0.015268,-0.042925,0.034620,3.841604,-8.000000,-0.072165,1.618506
1.5400,0.190838,0.000450,0.479430,0.999904,-0.008325,0.000959,0.000000,-0.547000,0.924000,-0.454000,0.000000,0.000000,-0.013510,-0.038754,0.031471,-9.999875,-0.284645,-0.063280,1.627166
1.5600,0.190813,0.000232,0.479648,0.999928,-0.004609,0.000563,0.000000,-0.558000,0.936000,-0.456000,0.000000,0.000000,-0.012989,-0.037999,0.031064,-9.999858,0.615465,-0.029526,1.635860
1.5800,0.190794,0.000090,0.479777,0.999936,-0.002246,0.000281,0.000000,-0.569000,0.948000,-0.458000,0.000000,0.000000,-0.013055,-0.038938,0.032037,-9.999861,0.512558,-0.013784,1.644713
1.6000,0.190784,0.000018,0.479838,0.999938,-0.001066,0.000135,0.000000,-0.580000,0.960000,-0.460000,0.000000,0.000000,-0.013158,-0.040002,0.033115,-9.999864,0.267078,-0.006475,1.653722
1.6200,0.190780,-0.000016,0.479867,0.999939,-0.000509,0.000064,0.000000,-0.591000,0.972000,-0.462000,0.000000,0.000000,-0.012697,-0.039320,0.032742,-9.999849,-7.999869,-2.195260,1.662865
1.6400,0.190490,0.000477,0.479745,0.999940,-0.003474,0.000010,0.000000,-0.602000,0.984000,-0.464000,0.000000,0.000000,-0.015195,-0.048068,0.040226,-9.999955,-6.694630,-5.999970,1.672325
1.6600,0.190308,0.001053,0.479798,0.999953,-0.005301,-0.000732,0.000000,-0.613000,0.996000,-0.466000,0.000000,0.000000,-0.007439,-0.023999,0.020170,9.999617,7.971201,-5.999821,1.681901
1.6800,0.189319,0.000628,0.479492,0.999926,0.008052,-0.001064,0.000000,-0.624000,1.008000,-0.468000,0.000000,0.000000,-0.011515,-0.038012,0.032169,-9.999812,8.003457,2.851404,1.691211
1.7000,0.188984,-0.000625,0.480316,0.999647,0.024269,-0.000162,0.000000,-0.635000,1.020000,-0.470000,0.000000,0.000000,-0.007936,-0.026635,0.022660,-9.999650,-0.601676,5.999885,1.699958
1.7200,0.188915,-0.000984,0.480865,0.999543,0.027983,0.000128,0.000000,-0.646000,1.032000,-0.472000,0.000000,0.000000,-0.008281,-0.028272,0.024155,-9.999669,-2.315357,6.002991,1.709301
1.7400,0.188917,-0.000022,0.480236,0.999868,0.011454,0.000096,0.000000,-0.657000,1.044000,-0.474000,0.000000,0.000000,-0.009500,-0.033045,0.028356,-9.999730,-0.172205,0.275580,1.719755
1.7600,0.188897,0.001156,0.479266,0.999901,-0.007861,0.000078,0.000000,-0.668000,1.056000,-0.476000,0.000000,0.000000,-0.015111,-0.053536,0.046142,-9.999998,0.770856,-0.452385,1.730440
1.7800,0.188688,0.001077,0.479283,0.999909,-0.005485,-0.000279,0.000000,-0.679000,1.068000,-0.478000,0.000000,0.000000,-0.012343,-0.044491,0.038515,-9.999842,0.957951,5.735458,1.740385
1.8000,0.188431,0.000822,0.479444,0.999912,-0.001130,-0.000769,0.000000,-0.690000,1.080000,-0.480000,0.000000,0.000000,-0.011158,-0.040912,0.035568,-9.999800,4.209964,5.999674,1.750300
1.8200,0.188165,0.000061,0.479958,0.999854,0.008504,-0.001359,0.000000,-0.701000,1.092000,-0.482000,0.000000,0.000000,-0.007392,-0.027536,0.024040,-9.999619,1.458284,5.999713,1.759959
1.8400,0.187804,-0.000394,0.480271,0.999788,0.012552,-0.002453,0.000000,-0.712000,1.104000,-0.484000,0.000000,0.000000,-0.006672,-0.025285,0.022163,-9.999573,4.704367,6.000238,1.769882
1.8600,0.187129,0.000272,0.479495,0.999850,-0.001557,-0.003204,0.000000,-0.723000,1.116000,-0.486000,0.000000,0.000000,-0.014482,-0.056002,0.049288,-9.999922,7.999952,5.999987,1.780742
1.8800,0.186671,0.000457,0.479371,0.999837,-0.003334,-0.002662,0.000000,-0.734000,1.128000,-0.488000,0.000000,0.000000,-0.012067,-0.047484,0.041937,-9.999837,-8.000047,6.000022,1.791276
1.9000,0.186626,0.000444,0.479564,0.999842,-0.002252,-0.001573,0.000000,-0.745000,1.140000,-0.490000,0.000000,0.000000,-0.012857,-0.051355,0.045498,-9.999864,-1.145573,0.142920,1.801757
1.9200,0.186661,0.000383,0.479724,0.999844,-0.001152,-0.000777,0.000000,-0.756000,1.152000,-0.492000,0.000000,0.000000,-0.012801,-0.051869,0.046101,-9.999862,-1.248123,0.044921,1.812323
1.9400,0.186685,0.000346,0.479810,0.999845,-0.000551,-0.000367,0.000000,-0.767000,1.164000,-0.494000,0.000000,0.000000,-0.012838,-0.052767,0.047049,-9.999863,-0.662118,0.018325,1.823009
1.9600,0.186696,0.000329,0.479852,0.999845,-0.000262,-0.000173,0.000000,-0.778000,1.176000,-0.496000,0.000000,0.000000,-0.012861,-0.053618,0.047956,-9.999864,-0.309522,0.008363,1.833801
1.9800,0.186701,0.000320,0.479873,0.999845,-0.000126,-0.000083,0.000000,-0.789000,1.188000,-0.498000,0.000000,0.000000,-0.012870,-0.054411,0.048814,-9.999864,-0.142981,0.003966,1.844687
2.0000,0.186223,0.000452,0.479547,0.999847,-0.001050,-0.000767,0.000000,-0.800000,1.200000,-0.500000,0.000000,0.000000,-0.013006,-0.055924,0.050337,-9.999870,8.001242,0.221553,1.855801
2.0200,0.185780,0.000079,0.479246,0.999823,0.002088,0.000090,0.000000,-0.801000,1.201000,-0.501000,0.000000,0.000000,-0.011833,-0.051032,0.045982,-9.999831,8.000562,0.996325,1.857322
2.0400,0.185807,0.000451,0.479540,0.999846,-0.002368,0.001259,0.000000,-0.802000,1.202000,-0.502000,0.000000,0.000000,-0.014428,-0.062310,0.056087,-9.999924,-7.999968,-5.999988,1.859018
2.0600,0.185811,0.001527,0.480541,0.999766,-0.016244,-0.000088,0.000000,-0.803000,1.203000,-0.503000,0.000000,0.000000,-0.014865,-0.064371,0.057788,-0.758035,8.000000,-6.000000,1.860727
2.0800,0.184728,0.000746,0.479467,0.999853,0.006256,-0.001356,0.000000,-0.804000,1.204000,-0.504000,0.000000,0.000000,-0.005120,-0.022324,0.020113,-9.999462,-1.255348,5.999556,1.862338
2.1000,0.184198,0.000342,0.479094,0.999746,0.014840,-0.000701,0.000000,-0.805000,1.205000,-0.505000,0.000000,0.000000,-0.010996,-0.048082,0.043338,-9.999804,-1.123053,1.900404,1.863847
2.1200,0.184174,0.000681,0.479392,0.999813,0.009177,-0.000218,0.000000,-0.806000,1.206000,-0.506000,0.000000,0.000000,-0.013021,-0.057034,0.051368,-9.999875,-1.387772,0.142883,1.865522
2.1400,0.184181,0.000953,0.479641,0.999845,0.004638,-0.000074,0.000000,-0.807000,1.207000,-0.507000,0.000000,0.000000,-0.013069,-0.057330,0.051608,-9.999876,-0.375702,0.014803,1.867181
2.1600,0.184186,0.001102,0.479776,0.999853,0.002175,-0.000028,0.000000,-0.808000,1.208000,-0.508000,0.000000,0.000000,-0.012910,-0.056711,0.051041,-9.999871,-0.120112,0.002417,1.868825
2.1800,0.184009,0.001224,0.479703,0.999859,0.000435,-0.000321,0.000000,-0.809000,1.209000,-0.509000,0.000000,0.000000,-0.012517,-0.055129,0.049623,-9.999858,7.507491,2.084722,1.870522
2.2000,0.183662,0.001521,0.479406,0.999873,-0.002615,0.000382,0.000000,-0.810000,1.210000,-0.510000,0.000000,0.000000,-0.009469,-0.041847,0.037674,-9.999741,8.000721,5.999891,1.872375
2.2200,0.183755,0.001749,0.479631,0.999880,-0.004243,0.001732,0.000000,-0.811000,1.211000,-0.511000,0.000000,0.000000,-0.013575,-0.060041,0.054025,-9.999895,-3.990279,-5.034556,1.874035
2.2400,0.183504,0.001655,0.479630,0.999892,-0.002185,-0.000042,0.000000,-0.812000,1.212000,-0.512000,0.000000,0.000000,-0.011877,-0.052682,0.047423,-9.999837,7.999893,0.748596,1.875605
2.2600,0.183376,0.001550,0.479619,0.999893,-0.000693,-0.000207,0.000000,-0.813000,1.213000,-0.513000,0.000000,0.000000,-0.014242,-0.063251,0.056943,-9.999924,-7.999998,-5.999997,1.877182
2.2800,0.182646,0.000779,0.479391,0.999865,0.004361,-0.001069,0.000000,-0.814000,1.214000,-0.514000,0.000000,0.000000,-0.010673,-0.047629,0.042948,-9.999795,7.840913,5.694709,1.878478
2.3000,0.182458,0.000653,0.479569,0.999862,0.003937,-0.001053,0.000000,-0.815000,1.215000,-0.515000,0.000000,0.000000,-0.012430,-0.055567,0.050100,-9.999859,0.640916,0.537892,1.879963
2.3200,0.182466,0.000741,0.479727,0.999867,0.002180,-0.000607,0.000000,-0.816000,1.216000,-0.516000,0.000000,0.000000,-0.012680,-0.056757,0.051164,-9.999867,-0.648683,0.070845,1.881573
2.3400,0.182484,0.000805,0.479813,0.999869,0.001079,-0.000306,0.000000,-0.817000,1.217000,-0.517000,0.000000,0.000000,-0.012637,-0.056633,0.051050,-9.999866,-0.491693,0.018438,1.883201
2.3600,0.182493,0.000839,0.479854,0.999870,0.000521,-0.000149,0.000000,-0.818000,1.218000,-0.518000,0.000000,0.000000,-0.012588,-0.056483,0.050917,-9.999864,-0.258928,0.007471,1.884832
2.3800,0.182498,0.000856,0.479874,0.999870,0.000252,-0.000072,0.000000,-0.819000,1.219000,-0.519000,0.000000,0.000000,-0.012561,-0.056427,0.050871,-9.999863,-0.126569,0.003478,1.886463
2.4000,0.182097,0.001067,0.479602,0.999886,-0.003347,-0.000530,0.000000,-0.820000,1.220000,-0.520000,0.000000,0.000000,-0.013233,-0.059690,0.053827,-9.999888,8.000051,-3.618333,1.888270
2.4200,0.182210,0.002169,0.480460,0.999713,-0.020154,0.001805,0.000000,-0.821000,1.221000,-0.521000,0.000000,0.000000,-0.012115,-0.054719,0.049202,9.999848,-8.000110,-4.195495,1.890023
2.4400,0.181430,0.001628,0.479310,0.999887,-0.007525,0.000700,0.000000,-0.822000,1.222000,-0.522000,0.000000,0.000000,-0.009101,-0.041332,0.037282,-9.999729,7.410760,-1.834774,1.891842
2.4600,0.181178,0.001268,0.479213,0.999916,-0.000793,-0.000088,0.000000,-0.823000,1.223000,-0.523000,0.000000,0.000000,-0.011638,-0.052949,0.047779,-9.999834,1.779669,-0.107896,1.893340
2.4800,0.181153,0.001209,0.479501,0.999916,0.000226,-0.000139,0.000000,-0.824000,1.224000,-0.524000,0.000000,0.000000,-0.012293,-0.055997,0.050518,-9.999857,0.191619,-0.002992,1.894831
2.5000,0.181155,0.001208,0.479698,0.999916,0.000229,-0.000083,0.000000,-0.825000,1.225000,-0.525000,0.000000,0.000000,-0.012420,-0.056643,0.051095,-9.999861,-0.081870,0.003083,1.896386
