t_sim,q1,q2,q3,q4,q5,q6,q7,q1_ref,q2_ref,q3_ref,q4_ref,q5_ref,q6_ref,q7_ref,tau1,tau2,tau3,tau4,tau5,tau6,tau7,gripper_cmd,tracking_error,ee_x,ee_y,ee_z
0.2550,0.000295,0.327734,0.014108,-1.716219,-0.081812,2.136217,-1.036264,0.005812,0.278207,0.030450,-1.768846,-0.092168,2.163071,-1.073040,0.005812,0.278207,0.030450,-1.768846,-0.092168,2.163071,-1.073040,0.0400,0.087754,0.6669,-0.0017,0.3043
0.2600,0.000414,0.326611,0.015051,-1.722616,-0.085768,2.143417,-1.048701,0.006074,0.277228,0.031819,-1.777749,-0.096311,2.170401,-1.085975,0.006074,0.277228,0.031819,-1.777749,-0.096311,2.170401,-1.085975,0.0400,0.089556,0.6665,-0.0014,0.3028
0.2650,0.000545,0.325457,0.016027,-1.729193,-0.089803,2.150747,-1.061373,0.006339,0.276232,0.033209,-1.786793,-0.100520,2.177848,-1.099114,0.006339,0.276232,0.033209,-1.786793,-0.100520,2.177848,-1.099114,0.0400,0.091342,0.6661,-0.0012,0.3012
0.2700,0.000686,0.324278,0.017037,-1.735952,-0.093914,2.158200,-1.074271,0.006608,0.275222,0.034620,-1.795972,-0.104792,2.185406,-1.112450,0.006608,0.275222,0.034620,-1.795972,-0.104792,2.185406,-1.112450,0.0400,0.093109,0.6656,-0.0008,0.2996
0.2750,0.000838,0.323077,0.018081,-1.742889,-0.098098,2.165769,-1.087385,0.006882,0.274198,0.036051,-1.805278,-0.109122,2.193068,-1.125970,0.006882,0.274198,0.036051,-1.805278,-0.109122,2.193068,-1.125970,0.0400,0.094850,0.6651,-0.0005,0.2980
0.2800,0.001002,0.321858,0.019157,-1.750005,-0.102352,2.173448,-1.100705,0.007158,0.273161,0.037500,-1.814704,-0.113509,2.200829,-1.139664,0.007158,0.273161,0.037500,-1.814704,-0.113509,2.200829,-1.139664,0.0400,0.096560,0.6646,-0.0001,0.2962
0.2850,0.001177,0.320626,0.020267,-1.757296,-0.106672,2.181230,-1.114220,0.007438,0.272112,0.038967,-1.824244,-0.117948,2.208683,-1.153523,0.007438,0.272112,0.038967,-1.824244,-0.117948,2.208683,-1.153523,0.0400,0.098235,0.6640,0.0003,0.2945
0.2900,0.001363,0.319383,0.021408,-1.764760,-0.111055,2.189106,-1.127919,0.007721,0.271050,0.040450,-1.833888,-0.122436,2.216624,-1.167535,0.007721,0.271050,0.040450,-1.833888,-0.122436,2.216624,-1.167535,0.0400,0.099870,0.6633,0.0008,0.2926
0.2950,0.001561,0.318134,0.022581,-1.772395,-0.115497,2.197071,-1.141793,0.008007,0.269978,0.041947,-1.843631,-0.126970,2.224646,-1.181689,0.008007,0.269978,0.041947,-1.843631,-0.126970,2.224646,-1.181689,0.0400,0.101458,0.6626,0.0013,0.2907
0.3000,0.001771,0.316881,0.023786,-1.780197,-0.119995,2.205116,-1.155830,0.008296,0.268896,0.043459,-1.853463,-0.131546,2.232742,-1.195974,0.008296,0.268896,0.043459,-1.853463,-0.131546,2.232742,-1.195974,0.0400,0.102996,0.6619,0.0018,0.2888
0.3050,0.001992,0.315628,0.025021,-1.788164,-0.124543,2.213235,-1.170020,0.008587,0.267805,0.044983,-1.863378,-0.136160,2.240905,-1.210379,0.008587,0.267805,0.044983,-1.863378,-0.136160,2.240905,-1.210379,0.0400,0.104478,0.6611,0.0024,0.2868
0.3100,0.002224,0.314377,0.026285,-1.796290,-0.129140,2.221420,-1.184350,0.008880,0.266706,0.046519,-1.873368,-0.140809,2.249130,-1.224891,0.008880,0.266706,0.046519,-1.873368,-0.140809,2.249130,-1.224891,0.0400,0.105900,0.6602,0.0030,0.2847
0.3150,0.002468,0.313131,0.027579,-1.804572,-0.133780,2.229664,-1.198809,0.009175,0.265600,0.048065,-1.883423,-0.145488,2.257409,-1.239500,0.009175,0.265600,0.048065,-1.883423,-0.145488,2.257409,-1.239500,0.0400,0.107257,0.6593,0.0036,0.2825
0.3200,0.002723,0.311892,0.028901,-1.813005,-0.138459,2.237959,-1.213386,0.009472,0.264487,0.049620,-1.893537,-0.150195,2.265736,-1.254194,0.009472,0.264487,0.049620,-1.893537,-0.150195,2.265736,-1.254194,0.0400,0.108545,0.6584,0.0043,0.2803
0.3250,0.002990,0.310663,0.030251,-1.821585,-0.143175,2.246299,-1.228070,0.009770,0.263369,0.051183,-1.903701,-0.154925,2.274105,-1.268960,0.009770,0.263369,0.051183,-1.903701,-0.154925,2.274105,-1.268960,0.0400,0.109759,0.6574,0.0050,0.2780
0.3300,0.003268,0.309445,0.031627,-1.830305,-0.147922,2.254677,-1.242848,0.010069,0.262246,0.052752,-1.913906,-0.159674,2.282508,-1.283787,0.010069,0.262246,0.052752,-1.913906,-0.159674,2.282508,-1.283787,0.0400,0.110897,0.6563,0.0058,0.2757
0.3350,0.003557,0.308241,0.033029,-1.839161,-0.152697,2.263087,-1.257709,0.010370,0.261119,0.054326,-1.924145,-0.164439,2.290938,-1.298663,0.010370,0.261119,0.054326,-1.924145,-0.164439,2.290938,-1.298663,0.0400,0.111953,0.6551,0.0066,0.2733
0.3400,0.003857,0.307051,0.034456,-1.848146,-0.157496,2.271521,-1.272640,0.010671,0.259990,0.055904,-1.934409,-0.169215,2.299389,-1.313575,0.010671,0.259990,0.055904,-1.934409,-0.169215,2.299389,-1.313575,0.0400,0.112926,0.6539,0.0074,0.2708
0.3450,0.004168,0.305878,0.035907,-1.857254,-0.162315,2.279973,-1.287629,0.010973,0.258858,0.057485,-1.944690,-0.174000,2.307854,-1.328511,0.010973,0.258858,0.057485,-1.944690,-0.174000,2.307854,-1.328511,0.0400,0.113811,0.6526,0.0083,0.2682
0.3500,0.004489,0.304722,0.037380,-1.866479,-0.167150,2.288437,-1.302665,0.011275,0.257726,0.059067,-1.954980,-0.178788,2.316326,-1.343460,0.011275,0.257726,0.059067,-1.954980,-0.178788,2.316326,-1.343460,0.0400,0.114607,0.6513,0.0092,0.2657
0.3550,0.004821,0.303584,0.038875,-1.875815,-0.171998,2.296906,-1.317735,0.011577,0.256594,0.060648,-1.965269,-0.183576,2.324798,-1.358408,0.011577,0.256594,0.060648,-1.965269,-0.183576,2.324798,-1.358408,0.0400,0.115309,0.6499,0.0101,0.2630
0.3600,0.005162,0.302466,0.040390,-1.885252,-0.176855,2.305374,-1.332827,0.011879,0.255463,0.062229,-1.975550,-0.188361,2.333263,-1.373345,0.011879,0.255463,0.062229,-1.975550,-0.188361,2.333263,-1.373345,0.0400,0.115917,0.6485,0.0111,0.2603
0.3650,0.005514,0.301366,0.041925,-1.894786,-0.181716,2.313835,-1.347928,0.012180,0.254333,0.063807,-1.985814,-0.193137,2.341714,-1.388257,0.012180,0.254333,0.063807,-1.985814,-0.193137,2.341714,-1.388257,0.0400,0.116429,0.6469,0.0121,0.2575
0.3700,0.005874,0.300287,0.043478,-1.904407,-0.186579,2.322283,-1.363026,0.012480,0.253207,0.065381,-1.996054,-0.197902,2.350145,-1.403133,0.012480,0.253207,0.065381,-1.996054,-0.197902,2.350145,-1.403133,0.0400,0.116842,0.6453,0.0131,0.2547
0.3750,0.006244,0.299228,0.045048,-1.914109,-0.191439,2.330711,-1.378109,0.012780,0.252084,0.066950,-2.006259,-0.202652,2.358547,-1.417959,0.012780,0.252084,0.066950,-2.006259,-0.202652,2.358547,-1.417959,0.0400,0.117155,0.6437,0.0142,0.2519
0.3800,0.006623,0.298190,0.046633,-1.923883,-0.196293,2.339113,-1.393164,0.013078,0.250965,0.068513,-2.016423,-0.207381,2.366916,-1.432726,0.013078,0.250965,0.068513,-2.016423,-0.207381,2.366916,-1.432726,0.0400,0.117368,0.6420,0.0152,0.2490
